投放渠道,活动URL,keplerID,APPKEY,投放链接
搜狐新闻客户端,https://clk.gentags.net/nck/iv-25716/st-837/cr-2/oi-1280916/or-6526/adv-403/pcon-0/t_ip=__IP__&imei=__IMEI__&mac=__MAC__&mac1=__MAC1__&androidid=__AndroidID__&androidid1=__AndroidID1__&aaid=__AAID__&udid=__UDID__&idfa=__IDFA__&openudid=__OpenUDID__&duid=__DUID__&os=__OS__&ts=__TS__/https://ccc-x.jd.com/dsp/cl?posid=1999&v=707&union_id=1000023384&pid=392&tagid=11308&to=https://m.jd.com/,jd20170831sohonew,73d7adb5ab2a44cca1bee6889d77cb67,
搜狐新闻客户端,https://clk.gentags.net/nck/iv-25716/st-837/cr-2/oi-1280923/or-6530/adv-403/pcon-0/t_ip=__IP__&imei=__IMEI__&mac=__MAC__&mac1=__MAC1__&androidid=__AndroidID__&androidid1=__AndroidID1__&aaid=__AAID__&udid=__UDID__&idfa=__IDFA__&openudid=__OpenUDID__&duid=__DUID__&os=__OS__&ts=__TS__/https://ccc-x.jd.com/dsp/cl?posid=1999&v=707&union_id=1000027280&pid=330&tagid=12847&to=https://pro.m.jd.com/mall/active/4EdQPvKP49vdsuWi7BqgK6aWLfZQ/index.html?ad_od=1,jd20170831sohonew,73d7adb5ab2a44cca1bee6889d77cb67,
